,age,length_of_service,STATUS,BUSINESS_UNIT,hierarchy_job,population_category,gender_short_F,gender_short_M,department_service_Business,department_service_Customer
321,60,20,1,0,0,2,1,0,1,0
322,61,21,1,0,0,2,1,0,1,0
323,62,22,1,0,0,2,1,0,1,0
324,63,23,1,0,0,2,1,0,1,0
325,64,24,1,0,0,2,1,0,1,0
326,57,17,1,1,1,1,0,1,1,0
327,58,18,1,1,1,1,0,1,1,0
328,59,19,1,1,1,1,0,1,1,0
329,57,17,1,0,0,2,0,1,1,0
330,58,18,1,0,0,2,0,1,1,0
331,59,19,1,0,0,2,0,1,1,0
332,57,17,1,1,1,2,1,0,0,1
333,58,18,1,1,1,2,1,0,0,1
334,59,19,1,1,1,2,1,0,0,1
335,60,20,1,1,1,2,1,0,0,1
336,61,21,1,1,1,2,1,0,0,1
337,62,22,1,1,1,2,1,0,0,1
338,63,23,1,1,1,2,1,0,0,1
339,64,24,1,1,1,2,1,0,0,1
340,57,17,1,0,0,2,1,0,1,0
341,58,18,1,0,0,2,1,0,1,0
342,59,19,1,0,0,2,1,0,1,0
343,60,20,1,0,0,2,1,0,1,0
344,61,21,1,0,0,2,1,0,1,0
345,62,22,1,0,0,2,1,0,1,0
346,63,23,1,0,0,2,1,0,1,0
347,64,24,1,0,0,2,1,0,1,0
348,57,17,1,1,1,1,0,1,0,1
349,58,18,1,1,1,1,0,1,0,1
350,59,19,1,1,1,1,0,1,0,1
351,57,17,1,1,1,1,1,0,0,1
352,58,18,1,1,1,1,1,0,0,1
353,59,19,1,1,1,1,1,0,0,1
354,60,20,1,1,1,1,1,0,0,1
355,61,21,1,1,1,1,1,0,0,1
356,62,22,1,1,1,1,1,0,0,1
357,63,23,1,1,1,1,1,0,0,1
358,64,24,1,1,1,1,1,0,0,1
359,57,17,1,1,1,1,1,0,0,1
360,58,18,1,1,1,1,1,0,0,1
361,59,19,1,1,1,1,1,0,0,1
362,60,20,1,1,1,1,1,0,0,1
363,61,21,1,1,1,1,1,0,0,1
364,62,22,1,1,1,1,1,0,0,1
365,63,23,1,1,1,1,1,0,0,1
366,64,24,1,1,1,1,1,0,0,1
367,57,17,1,0,0,2,1,0,1,0
368,58,18,1,0,0,2,1,0,1,0
369,59,19,1,0,0,2,1,0,1,0
370,60,20,1,0,0,2,1,0,1,0
371,61,21,1,0,0,2,1,0,1,0
372,62,22,1,0,0,2,1,0,1,0
373,63,23,1,0,0,2,1,0,1,0
374,64,24,1,0,0,2,1,0,1,0
375,57,17,1,1,1,1,1,0,1,0
376,58,18,1,1,1,1,1,0,1,0
377,59,19,1,1,1,1,1,0,1,0
378,60,20,1,1,1,1,1,0,1,0
379,61,21,1,1,1,1,1,0,1,0
380,62,22,1,1,1,1,1,0,1,0
381,63,23,1,1,1,1,1,0,1,0
382,64,24,1,1,1,1,1,0,1,0
383,57,17,1,0,1,2,1,0,1,0
384,58,18,1,0,1,2,1,0,1,0
385,59,19,1,0,1,2,1,0,1,0
386,60,20,1,0,1,2,1,0,1,0
387,61,21,1,0,1,2,1,0,1,0
388,62,22,1,0,1,2,1,0,1,0
389,63,23,1,0,1,2,1,0,1,0
390,64,24,1,0,1,2,1,0,1,0
391,57,17,1,1,1,2,0,1,0,1
392,58,18,1,1,1,2,0,1,0,1
393,59,19,1,1,1,2,0,1,0,1
394,57,17,1,0,1,2,1,0,1,0
395,58,18,1,0,1,2,1,0,1,0
396,59,19,1,0,1,2,1,0,1,0
397,60,20,1,0,1,2,1,0,1,0
398,61,21,1,0,1,2,1,0,1,0
399,62,22,1,0,1,2,1,0,1,0
400,63,23,1,0,1,2,1,0,1,0
401,64,24,1,0,1,2,1,0,1,0
402,57,17,1,0,1,2,0,1,1,0
403,58,18,1,0,1,2,0,1,1,0
404,59,19,1,0,1,2,0,1,1,0
405,57,17,1,0,1,2,0,1,1,0
406,58,18,1,0,1,2,0,1,1,0
407,59,19,1,0,1,2,0,1,1,0
408,57,17,1,1,1,2,1,0,0,1
409,58,18,1,1,1,2,1,0,0,1
410,59,19,1,1,1,2,1,0,0,1
411,60,20,1,1,1,2,1,0,0,1
412,61,21,1,1,1,2,1,0,0,1
413,62,22,1,1,1,2,1,0,0,1
414,63,23,1,1,1,2,1,0,0,1
415,64,24,1,1,1,2,1,0,0,1
416,57,17,1,0,0,2,0,1,1,0
417,58,18,1,0,0,2,0,1,1,0
418,59,19,1,0,0,2,0,1,1,0
419,57,17,1,1,0,1,1,0,0,1
420,58,18,1,1,0,1,1,0,0,1
421,59,19,1,1,0,1,1,0,0,1
422,60,20,1,1,0,1,1,0,0,1
423,61,21,1,1,0,1,1,0,0,1
424,62,22,1,1,0,1,1,0,0,1
425,63,23,1,1,0,1,1,0,0,1
426,64,24,1,1,0,1,1,0,0,1
427,57,17,1,0,0,2,0,1,1,0
428,58,18,1,0,0,2,0,1,1,0
429,59,19,1,0,0,2,0,1,1,0
430,57,17,1,0,0,2,0,1,1,0
431,58,18,1,0,0,2,0,1,1,0
432,59,19,1,0,0,2,0,1,1,0
433,57,17,1,0,0,2,0,1,1,0
434,58,18,1,0,0,2,0,1,1,0
435,59,19,1,0,0,2,0,1,1,0
436,57,17,1,1,1,1,1,0,1,0
437,58,18,1,1,1,1,1,0,1,0
438,59,19,1,1,1,1,1,0,1,0
439,60,20,1,1,1,1,1,0,1,0
440,61,21,1,1,1,1,1,0,1,0
441,62,22,1,1,1,1,1,0,1,0
442,63,23,1,1,1,1,1,0,1,0
443,64,24,1,1,1,1,1,0,1,0
444,57,17,1,1,1,1,1,0,1,0
445,58,18,1,1,1,1,1,0,1,0
446,59,19,1,1,1,1,1,0,1,0
447,60,20,1,1,1,1,1,0,1,0
448,61,21,1,1,1,1,1,0,1,0
449,62,22,1,1,1,1,1,0,1,0
450,63,23,1,1,1,1,1,0,1,0
451,64,24,1,1,1,1,1,0,1,0
452,57,17,1,1,1,2,0,1,1,0
453,58,18,1,1,1,2,0,1,1,0
454,59,19,1,1,1,2,0,1,1,0
455,57,17,1,1,0,2,0,1,0,1
456,58,18,1,1,0,2,0,1,0,1
457,59,19,1,1,0,2,0,1,0,1
458,57,17,1,1,0,2,0,1,0,1
459,58,18,1,1,0,2,0,1,0,1
460,59,19,1,1,0,2,0,1,0,1
461,57,17,1,1,1,2,1,0,0,1
462,58,18,1,1,1,2,1,0,0,1
463,59,19,1,1,1,2,1,0,0,1
464,60,20,1,1,1,2,1,0,0,1
465,61,21,1,1,1,2,1,0,0,1
466,62,22,1,1,1,2,1,0,0,1
467,63,23,1,1,1,2,1,0,0,1
468,64,24,1,1,1,2,1,0,0,1
469,57,17,1,1,1,2,0,1,0,1
470,58,18,1,1,1,2,0,1,0,1
471,59,19,1,1,1,2,0,1,0,1
472,57,17,1,1,0,2,0,1,0,1
473,58,18,1,1,0,2,0,1,0,1
474,59,19,1,1,0,2,0,1,0,1
475,57,17,1,1,1,2,0,1,0,1
476,58,18,1,1,1,2,0,1,0,1
477,59,19,1,1,1,2,0,1,0,1
478,57,17,1,1,1,2,1,0,0,1
479,58,18,1,1,1,2,1,0,0,1
480,59,19,1,1,1,2,1,0,0,1
481,60,20,1,1,1,2,1,0,0,1
482,61,21,1,1,1,2,1,0,0,1
483,62,22,1,1,1,2,1,0,0,1
484,63,23,1,1,1,2,1,0,0,1
485,64,24,1,1,1,2,1,0,0,1
486,57,17,1,1,1,1,0,1,0,1
487,58,18,1,1,1,1,0,1,0,1
488,59,19,1,1,1,1,0,1,0,1
489,57,17,1,1,1,1,0,1,1,0
490,58,18,1,1,1,1,0,1,1,0
491,59,19,1,1,1,1,0,1,1,0
492,57,17,1,1,1,1,1,0,0,1
493,58,18,1,1,1,1,1,0,0,1
494,59,19,1,1,1,1,1,0,0,1
495,60,20,1,1,1,1,1,0,0,1
496,61,21,1,1,1,1,1,0,0,1
497,62,22,1,1,1,1,1,0,0,1
498,63,23,1,1,1,1,1,0,0,1
499,64,24,1,1,1,1,1,0,0,1
500,57,17,1,1,0,0,0,1,0,1
501,58,18,1,1,0,0,0,1,0,1
502,59,19,1,1,0,0,0,1,0,1
503,57,17,1,1,1,2,0,1,1,0
504,58,18,1,1,1,2,0,1,1,0
505,59,19,1,1,1,2,0,1,1,0
506,57,17,1,1,0,2,0,1,0,1
507,58,18,1,1,0,2,0,1,0,1
508,59,19,1,1,0,2,0,1,0,1
509,57,16,1,0,0,2,1,0,1,0
510,58,17,1,0,0,2,1,0,1,0
511,59,18,1,0,0,2,1,0,1,0
512,60,19,1,0,0,2,1,0,1,0
513,61,20,1,0,0,2,1,0,1,0
514,62,21,1,0,0,2,1,0,1,0
515,63,22,1,0,0,2,1,0,1,0
516,64,23,1,0,0,2,1,0,1,0
517,57,16,1,1,1,2,1,0,0,1
518,58,17,1,1,1,2,1,0,0,1
519,59,18,1,1,1,2,1,0,0,1
520,60,19,1,1,1,2,1,0,0,1
521,61,20,1,1,1,2,1,0,0,1
522,62,21,1,1,1,2,1,0,0,1
523,63,22,1,1,1,2,1,0,0,1
524,64,23,1,1,1,2,1,0,0,1
525,57,16,1,1,1,2,1,0,0,1
526,58,17,1,1,1,2,1,0,0,1
527,59,18,1,1,1,2,1,0,0,1
528,60,19,1,1,1,2,1,0,0,1
529,61,20,1,1,1,2,1,0,0,1
530,62,21,1,1,1,2,1,0,0,1
531,63,22,1,1,1,2,1,0,0,1
532,64,23,1,1,1,2,1,0,0,1
533,57,16,1,1,1,1,0,1,0,1
534,58,17,1,1,1,1,0,1,0,1
535,59,18,1,1,1,1,0,1,0,1
536,57,16,1,1,1,1,1,0,0,1
537,58,17,1,1,1,1,1,0,0,1
538,59,18,1,1,1,1,1,0,0,1
539,60,19,1,1,1,1,1,0,0,1
540,61,20,1,1,1,1,1,0,0,1
541,62,21,1,1,1,1,1,0,0,1
542,63,22,1,1,1,1,1,0,0,1
543,64,23,1,1,1,1,1,0,0,1
544,57,16,1,0,0,2,0,1,1,0
545,58,17,1,0,0,2,0,1,1,0
546,59,18,1,0,0,2,0,1,1,0
547,57,16,1,0,0,2,0,1,1,0
548,58,17,1,0,0,2,0,1,1,0
549,59,18,1,0,0,2,0,1,1,0
550,57,16,1,1,1,1,1,0,0,1
551,58,17,1,1,1,1,1,0,0,1
552,59,18,1,1,1,1,1,0,0,1
553,60,19,1,1,1,1,1,0,0,1
554,61,20,1,1,1,1,1,0,0,1
555,62,21,1,1,1,1,1,0,0,1
556,63,22,1,1,1,1,1,0,0,1
557,64,23,1,1,1,1,1,0,0,1
558,57,16,1,1,0,2,0,1,0,1
559,58,17,1,1,0,2,0,1,0,1
560,59,18,1,1,0,2,0,1,0,1
561,57,16,1,1,1,2,1,0,0,1
562,58,17,1,1,1,2,1,0,0,1
563,59,18,1,1,1,2,1,0,0,1
564,60,19,1,1,1,2,1,0,0,1
565,61,20,1,1,1,2,1,0,0,1
566,62,21,1,1,1,2,1,0,0,1
567,63,22,1,1,1,2,1,0,0,1
568,64,23,1,1,1,2,1,0,0,1
569,57,16,1,0,0,2,0,1,1,0
570,58,17,1,0,0,2,0,1,1,0
571,59,18,1,0,0,2,0,1,1,0
572,57,16,1,1,0,1,0,1,0,1
573,58,17,1,1,0,1,0,1,0,1
574,59,18,1,1,0,1,0,1,0,1
575,57,16,1,0,0,2,1,0,1,0
576,58,17,1,0,0,2,1,0,1,0
577,59,18,1,0,0,2,1,0,1,0
578,60,19,1,0,0,2,1,0,1,0
579,61,20,1,0,0,2,1,0,1,0
580,62,21,1,0,0,2,1,0,1,0
581,63,22,1,0,0,2,1,0,1,0
582,64,23,1,0,0,2,1,0,1,0
583,57,16,1,0,0,2,1,0,1,0
584,58,17,1,0,0,2,1,0,1,0
585,59,18,1,0,0,2,1,0,1,0
586,60,19,1,0,0,2,1,0,1,0
587,61,20,1,0,0,2,1,0,1,0
588,62,21,1,0,0,2,1,0,1,0
589,63,22,1,0,0,2,1,0,1,0
590,64,23,1,0,0,2,1,0,1,0
591,57,16,1,1,1,2,1,0,0,1
592,58,17,1,1,1,2,1,0,0,1
593,59,18,1,1,1,2,1,0,0,1
594,60,19,1,1,1,2,1,0,0,1
595,61,20,1,1,1,2,1,0,0,1
596,62,21,1,1,1,2,1,0,0,1
597,63,22,1,1,1,2,1,0,0,1
598,64,23,1,1,1,2,1,0,0,1
599,57,16,1,1,1,1,0,1,0,1
600,58,17,1,1,1,1,0,1,0,1
601,59,18,1,1,1,1,0,1,0,1
602,57,16,1,0,0,2,0,1,1,0
603,58,17,1,0,0,2,0,1,1,0
604,59,18,1,0,0,2,0,1,1,0
605,57,16,1,0,0,2,1,0,1,0
606,58,17,1,0,0,2,1,0,1,0
607,59,18,1,0,0,2,1,0,1,0
608,60,19,1,0,0,2,1,0,1,0
609,61,20,1,0,0,2,1,0,1,0
610,62,21,1,0,0,2,1,0,1,0
611,63,22,1,0,0,2,1,0,1,0
612,64,23,1,0,0,2,1,0,1,0
613,57,16,1,1,1,1,1,0,0,1
614,58,17,1,1,1,1,1,0,0,1
615,59,18,1,1,1,1,1,0,0,1
616,60,19,1,1,1,1,1,0,0,1
617,61,20,1,1,1,1,1,0,0,1
618,62,21,1,1,1,1,1,0,0,1
619,63,22,1,1,1,1,1,0,0,1
620,64,23,1,1,1,1,1,0,0,1
621,57,16,1,0,0,2,1,0,1,0
622,58,17,1,0,0,2,1,0,1,0
623,59,18,1,0,0,2,1,0,1,0
624,60,19,1,0,0,2,1,0,1,0
625,61,20,1,0,0,2,1,0,1,0
626,62,21,1,0,0,2,1,0,1,0
627,63,22,1,0,0,2,1,0,1,0
628,64,23,1,0,0,2,1,0,1,0
629,57,16,1,1,1,0,0,1,1,0
